 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Lista Morb  CID-10 e Unidade da Federação
Lista Morb  CID-10: Demência, Transt mentais e comportamentais dev uso de álcool, Transt mentais comport dev uso outr subst psicoat, Esquizofrenia transt esquizotípicos e delirantes, Transtornos de humor [afetivos], Transt neurót e relacionados com stress e somatof, Retardo mental, Outros transtornos mentais e comportamentais
Período:2019
"Lista Morb  CID-10";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"05 Transtornos mentais e comportamentais";1398;1469;367;213;3156;134;1000;4987;3053;8321;2859;3925;6168;3905;1330;5816;18295;3213;12367;59986;20344;14602;41285;1711;2268;9757;5401;237330
".. Demência";9;17;2;1;30;1;12;5;20;59;5;45;92;15;-;120;490;17;662;559;106;129;337;36;14;31;149;2963
".. Transt mentais e comportamentais dev uso álcool";36;62;27;11;63;6;88;788;445;787;205;437;1699;588;98;1393;3927;508;640;7426;4253;2558;6737;242;358;1123;939;35444
".. Transt ment comport dev uso outr subst psicoat";97;229;32;24;170;16;120;557;547;1485;314;636;691;485;116;402;1991;471;735;11983;4573;2677;11178;361;498;1646;583;42617
".. Esquizofrenia transt esquizotípicos e delirant";542;536;168;105;1929;86;531;2199;1163;3829;1506;1841;2193;2080;692;1997;5561;1253;6571;18636;5702;3005;6297;423;837;2892;1280;73854
".. Transtornos de humor [afetivos]";451;539;114;49;784;13;209;1167;605;1383;736;705;929;379;329;1200;3595;733;2462;13985;3922;5071;14008;476;426;3369;1501;59140
".. Transt neurót e relacionados com stress somatof";23;9;3;-;21;9;6;57;56;78;13;19;69;15;10;80;287;43;114;906;99;160;325;34;30;181;203;2850
".. Retardo mental";34;28;2;7;23;1;1;139;38;247;20;115;106;103;43;61;355;32;307;1769;411;97;460;18;50;73;108;4648
".. Outros transtornos mentais e comportamentais";206;49;19;16;136;2;33;75;179;453;60;127;389;240;42;563;2089;156;876;4722;1278;905;1943;121;55;442;638;15814
"Total";1398;1469;367;213;3156;134;1000;4987;3053;8321;2859;3925;6168;3905;1330;5816;18295;3213;12367;59986;20344;14602;41285;1711;2268;9757;5401;237330
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
