 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Lista Morb  CID-10 e Unidade da Federação
Lista Morb  CID-10: Demência, Transt mentais e comportamentais dev uso de álcool, Transt mentais comport dev uso outr subst psicoat, Esquizofrenia transt esquizotípicos e delirantes, Transtornos de humor [afetivos], Transt neurót e relacionados com stress e somatof, Retardo mental, Outros transtornos mentais e comportamentais
Período:Jan-Jul/2023
"Lista Morb  CID-10";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"05 Transtornos mentais e comportamentais";1417;815;493;175;2619;92;808;3613;1560;5510;2241;2289;3999;2016;631;3613;12659;1739;7123;34871;11151;10886;23154;1516;1512;5124;2712;144338
".. Demência";15;6;3;-;7;2;17;5;7;14;23;20;54;2;3;70;375;5;255;427;89;159;242;33;6;28;92;1959
".. Transt mentais e comportamentais dev uso álcool";34;44;10;6;51;2;74;608;270;401;109;177;936;270;36;610;2305;339;236;3442;1853;1442;3542;158;240;592;325;18112
".. Transt ment comport dev uso outr subst psicoat";179;107;41;20;89;4;65;387;382;896;191;361;691;326;98;334;1564;239;655;9129;2960;2109;6769;300;298;770;191;29155
".. Esquizofrenia transt esquizotípicos e delirant";678;309;316;103;1644;72;310;1652;518;2363;1112;1043;1228;995;295;1254;3593;512;3508;9537;3400;2253;3611;381;522;1321;594;43124
".. Transtornos de humor [afetivos]";379;271;100;33;675;4;212;708;250;1024;659;510;710;258;147;813;2793;437;1659;8124;2007;3907;7400;500;316;1926;821;36643
".. Transt neurót e relacionados com stress somatof";29;17;4;-;28;6;16;63;16;94;29;23;66;12;10;71;228;45;93;524;129;188;187;28;31;158;193;2288
".. Retardo mental";21;23;1;7;13;-;2;126;33;112;29;67;72;51;12;32;146;14;96;819;121;84;290;22;12;25;71;2301
".. Outros transtornos mentais e comportamentais";82;38;18;6;112;2;112;64;84;606;89;88;242;102;30;429;1655;148;621;2869;592;744;1113;94;87;304;425;10756
"Total";1417;815;493;175;2619;92;808;3613;1560;5510;2241;2289;3999;2016;631;3613;12659;1739;7123;34871;11151;10886;23154;1516;1512;5124;2712;144338
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
