fonte;origem;ano;morbidade;estado;sigla_estado;casos
datasus;internações;2013;Demência;Rondônia;RO;3
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Rondônia;RO;26
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Rondônia;RO;82
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Rondônia;RO;447
datasus;internações;2013;Transtornos de humor [afetivos];Rondônia;RO;107
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Rondônia;RO;3
datasus;internações;2013;Retardo mental;Rondônia;RO;22
datasus;internações;2013;Outros transtornos mentais e comportamentais;Rondônia;RO;40
datasus;internações;2013;Demência;Acre;AC;2
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Acre;AC;28
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Acre;AC;62
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Acre;AC;498
datasus;internações;2013;Transtornos de humor [afetivos];Acre;AC;336
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Acre;AC;7
datasus;internações;2013;Retardo mental;Acre;AC;65
datasus;internações;2013;Outros transtornos mentais e comportamentais;Acre;AC;58
datasus;internações;2013;Demência;Amazonas;AM;3
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Amazonas;AM;19
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Amazonas;AM;60
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Amazonas;AM;407
datasus;internações;2013;Transtornos de humor [afetivos];Amazonas;AM;178
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Amazonas;AM;3
datasus;internações;2013;Retardo mental;Amazonas;AM;5
datasus;internações;2013;Outros transtornos mentais e comportamentais;Amazonas;AM;8
datasus;internações;2013;Demência;Roraima;RR;-
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Roraima;RR;34
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Roraima;RR;34
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Roraima;RR;111
datasus;internações;2013;Transtornos de humor [afetivos];Roraima;RR;68
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Roraima;RR;-
datasus;internações;2013;Retardo mental;Roraima;RR;3
datasus;internações;2013;Outros transtornos mentais e comportamentais;Roraima;RR;26
datasus;internações;2013;Demência;Pará;PA;11
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Pará;PA;54
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Pará;PA;60
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Pará;PA;1762
