fonte;origem;ano;estado;sigla estado;consulta agendada;consulta no dia;atendimento de urgência
sisab;atenção básica;2015;Alagoas;AL;22.663;8.698;1.029
sisab;atenção básica;2015;Santa Catarina;SC;71.764;64.650;1.781
sisab;atenção básica;2015;Goiás;GO;40.566;45.357;1.001
sisab;atenção básica;2015;São Paulo;SP;135.187;80.653;5.573
sisab;atenção básica;2015;Maranhão;MA;25.293;11.511;297
sisab;atenção básica;2015;Mato Grosso;MT;7.571;10.921;179
sisab;atenção básica;2015;Piauí;PI;22.983;20.037;527
sisab;atenção básica;2015;Espírito Santo;ES;45.072;16.801;929
sisab;atenção básica;2015;Amazonas;AM;8.557;4.221;112
sisab;atenção básica;2015;Rio de Janeiro;RJ;39.958;75.921;1.388
sisab;atenção básica;2015;Acre;AC;2.036;2.595;32
sisab;atenção básica;2015;Rio Grande do Norte;RN;53.289;36.990;1.685
sisab;atenção básica;2015;Tocantins;TO;12.023;10.314;332
sisab;atenção básica;2015;Amapá;AP;1.474;554;18
sisab;atenção básica;2015;Roraima;RR;157;780;5
sisab;atenção básica;2015;Rio Grande do Sul;RS;95.349;166.614;2.731
sisab;atenção básica;2015;Mato Grosso do Sul;MS;16.439;19.085;255
sisab;atenção básica;2015;Minas Gerais;MG;201.718;102.827;4.450
sisab;atenção básica;2015;Paraíba;PB;97.729;128.973;1.819
sisab;atenção básica;2015;Rondônia;RO;9.526;8.812;58
sisab;atenção básica;2015;Ceará;CE;52.699;90.636;1.353
sisab;atenção básica;2015;Paraná;PR;58.581;78.337;748
sisab;atenção básica;2015;Pernambuco;PE;67.274;48.690;1.639
sisab;atenção básica;2015;Bahia;BA;64.976;32.900;1.765
sisab;atenção básica;2015;Sergipe;SE;25.094;12.788;841
sisab;atenção básica;2015;Pará;PA;20.191;10.971;365
