fonte;origem;ano;estado;sigla estado;consulta agendada;consulta no dia;atendimento de urgência
sisab;atenção básica;2016;MARANHAO;MA;40.365;20.455;399
sisab;atenção básica;2016;MATO GROSSO;MT;46.069;48.766;1.938
sisab;atenção básica;2016;PIAUI;PI;49.914;38.900;965
sisab;atenção básica;2016;ESPIRITO SANTO;ES;86.167;30.514;1.614
sisab;atenção básica;2016;RIO DE JANEIRO;RJ;129.315;355.185;2.272
sisab;atenção básica;2016;AMAZONAS;AM;16.934;9.117;250
sisab;atenção básica;2016;ACRE;AC;6.387;6.520;56
sisab;atenção básica;2016;RIO GRANDE DO NORTE;RN;83.742;57.198;1.853
sisab;atenção básica;2016;ALAGOAS;AL;87.633;33.973;3.744
sisab;atenção básica;2016;SANTA CATARINA;SC;291.607;280.176;8.332
sisab;atenção básica;2016;GOIAS;GO;109.372;107.230;1.875
sisab;atenção básica;2016;SAO PAULO;SP;303.741;201.281;10.396
sisab;atenção básica;2016;MINAS GERAIS;MG;567.099;333.222;15.093
sisab;atenção básica;2016;PARAIBA;PB;121.969;171.505;2.130
sisab;atenção básica;2016;RONDONIA;RO;26.454;27.666;275
sisab;atenção básica;2016;CEARA;CE;135.098;210.063;2.854
sisab;atenção básica;2016;PARANA;PA;114.555;172.831;1.705
sisab;atenção básica;2016;PERNAMBUCO;PE;208.643;134.754;5.048
sisab;atenção básica;2016;SERGIPE;SE;45.645;19.554;909
sisab;atenção básica;2016;BAHIA;BA;133.738;63.213;3.762
sisab;atenção básica;2016;PARA;PA;33.782;16.464;489
sisab;atenção básica;2016;TOCANTINS;TO;27.871;24.174;758
sisab;atenção básica;2016;AMAPA;AP;4.462;795;29
sisab;atenção básica;2016;RORAIMA;RR;1.054;822;22
sisab;atenção básica;2016;RIO GRANDE DO SUL;RS;172.975;290.459;4.742
sisab;atenção básica;2016;MATO GROSSO DO SUL;MS;38.424;60.382;583
