fonte;origem;ano;morbidade;estado;sigla_estado;casos;;;;;
datasus;internações;2013;Demência;Rondônia;RO;7;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Rondônia;RO;33;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Rondônia;RO;86;;;;;
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Rondônia;RO;520;;;;;
datasus;internações;2013;Transtornos de humor [afetivos];Rondônia;RO;266;;;;;
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Rondônia;RO;24;;;;;
datasus;internações;2013;Retardo mental;Rondônia;RO;16;;;;;
datasus;internações;2013;Outros transtornos mentais e comportamentais;Rondônia;RO;94;;;;;
datasus;internações;2013;Demência;Acre;AC;2;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Acre;AC;104;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Acre;AC;303;;;;;
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Acre;AC;487;;;;;
datasus;internações;2013;Transtornos de humor [afetivos];Acre;AC;361;;;;;
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Acre;AC;7;;;;;
datasus;internações;2013;Retardo mental;Acre;AC;35;;;;;
datasus;internações;2013;Outros transtornos mentais e comportamentais;Acre;AC;20;;;;;
datasus;internações;2013;Demência;Amazonas;AM;6;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Amazonas;AM;30;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Amazonas;AM;79;;;;;
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Amazonas;AM;313;;;;;
datasus;internações;2013;Transtornos de humor [afetivos];Amazonas;AM;188;;;;;
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Amazonas;AM;5;;;;;
datasus;internações;2013;Retardo mental;Amazonas;AM;5;;;;;
datasus;internações;2013;Outros transtornos mentais e comportamentais;Amazonas;AM;23;;;;;
datasus;internações;2013;Demência;Roraima;RR;-;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Roraima;RR;23;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Roraima;RR;22;;;;;
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Roraima;RR;167;;;;;
datasus;internações;2013;Transtornos de humor [afetivos];Roraima;RR;48;;;;;
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Roraima;RR;-;;;;;
datasus;internações;2013;Retardo mental;Roraima;RR;15;;;;;
datasus;internações;2013;Outros transtornos mentais e comportamentais;Roraima;RR;80;;;;;
datasus;internações;2013;Demência;Pará;PA;14;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Pará;PA;64;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Pará;PA;244;;;;;
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Pará;PA;1999;;;;;
datasus;internações;2013;Transtornos de humor [afetivos];Pará;PA;566;;;;;
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Pará;PA;7;;;;;
datasus;internações;2013;Retardo mental;Pará;PA;32;;;;;
datasus;internações;2013;Outros transtornos mentais e comportamentais;Pará;PA;139;;;;;
datasus;internações;2013;Demência;Amapá;AP;1;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Amapá;AP;2;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Amapá;AP;8;;;;;
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Amapá;AP;50;;;;;
datasus;internações;2013;Transtornos de humor [afetivos];Amapá;AP;20;;;;;
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Amapá;AP;4;;;;;
datasus;internações;2013;Retardo mental;Amapá;AP;-;;;;;
datasus;internações;2013;Outros transtornos mentais e comportamentais;Amapá;AP;2;;;;;
datasus;internações;2013;Demência;Tocantins;TO;4;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Tocantins;TO;118;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Tocantins;TO;244;;;;;
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Tocantins;TO;349;;;;;
datasus;internações;2013;Transtornos de humor [afetivos];Tocantins;TO;175;;;;;
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Tocantins;TO;5;;;;;
datasus;internações;2013;Retardo mental;Tocantins;TO;9;;;;;
datasus;internações;2013;Outros transtornos mentais e comportamentais;Tocantins;TO;53;;;;;
datasus;internações;2013;Demência;Maranhão;MA;3;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Maranhão;MA;701;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Maranhão;MA;603;;;;;
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Maranhão;MA;1999;;;;;
datasus;internações;2013;Transtornos de humor [afetivos];Maranhão;MA;922;;;;;
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Maranhão;MA;62;;;;;
datasus;internações;2013;Retardo mental;Maranhão;MA;100;;;;;
datasus;internações;2013;Outros transtornos mentais e comportamentais;Maranhão;MA;34;;;;;
datasus;internações;2013;Demência;Piauí;PI;27;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Piauí;PI;312;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Piauí;PI;527;;;;;
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Piauí;PI;1097;;;;;
datasus;internações;2013;Transtornos de humor [afetivos];Piauí;PI;613;;;;;
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Piauí;PI;44;;;;;
datasus;internações;2013;Retardo mental;Piauí;PI;28;;;;;
datasus;internações;2013;Outros transtornos mentais e comportamentais;Piauí;PI;152;;;;;
datasus;internações;2013;Demência;Ceará;CE;62;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Ceará;CE;636;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Ceará;CE;1607;;;;;
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Ceará;CE;3473;;;;;
datasus;internações;2013;Transtornos de humor [afetivos];Ceará;CE;1116;;;;;
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Ceará;CE;44;;;;;
datasus;internações;2013;Retardo mental;Ceará;CE;241;;;;;
datasus;internações;2013;Outros transtornos mentais e comportamentais;Ceará;CE;223;;;;;
datasus;internações;2013;Demência;Rio Grande do Norte;RN;7;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Rio Grande do Norte;RN;187;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Rio Grande do Norte;RN;210;;;;;
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Rio Grande do Norte;RN;1365;;;;;
datasus;internações;2013;Transtornos de humor [afetivos];Rio Grande do Norte;RN;636;;;;;
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Rio Grande do Norte;RN;24;;;;;
datasus;internações;2013;Retardo mental;Rio Grande do Norte;RN;21;;;;;
datasus;internações;2013;Outros transtornos mentais e comportamentais;Rio Grande do Norte;RN;45;;;;;
datasus;internações;2013;Demência;Paraíba;PB;8;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Paraíba;PB;597;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Paraíba;PB;639;;;;;
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Paraíba;PB;2199;;;;;
datasus;internações;2013;Transtornos de humor [afetivos];Paraíba;PB;812;;;;;
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Paraíba;PB;50;;;;;
datasus;internações;2013;Retardo mental;Paraíba;PB;165;;;;;
datasus;internações;2013;Outros transtornos mentais e comportamentais;Paraíba;PB;177;;;;;
datasus;internações;2013;Demência;Pernambuco;PE;58;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Pernambuco;PE;1605;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Pernambuco;PE;661;;;;;
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Pernambuco;PE;1766;;;;;
datasus;internações;2013;Transtornos de humor [afetivos];Pernambuco;PE;784;;;;;
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Pernambuco;PE;57;;;;;
datasus;internações;2013;Retardo mental;Pernambuco;PE;114;;;;;
datasus;internações;2013;Outros transtornos mentais e comportamentais;Pernambuco;PE;530;;;;;
datasus;internações;2013;Demência;Alagoas;AL;33;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Alagoas;AL;556;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Alagoas;AL;487;;;;;
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Alagoas;AL;1735;;;;;
datasus;internações;2013;Transtornos de humor [afetivos];Alagoas;AL;374;;;;;
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Alagoas;AL;21;;;;;
datasus;internações;2013;Retardo mental;Alagoas;AL;135;;;;;
datasus;internações;2013;Outros transtornos mentais e comportamentais;Alagoas;AL;232;;;;;
datasus;internações;2013;Demência;Sergipe;SE;5;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Sergipe;SE;202;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Sergipe;SE;289;;;;;
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Sergipe;SE;791;;;;;
datasus;internações;2013;Transtornos de humor [afetivos];Sergipe;SE;244;;;;;
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Sergipe;SE;10;;;;;
datasus;internações;2013;Retardo mental;Sergipe;SE;49;;;;;
datasus;internações;2013;Outros transtornos mentais e comportamentais;Sergipe;SE;51;;;;;
datasus;internações;2013;Demência;Bahia;BA;72;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Bahia;BA;1094;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Bahia;BA;269;;;;;
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Bahia;BA;1560;;;;;
datasus;internações;2013;Transtornos de humor [afetivos];Bahia;BA;932;;;;;
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Bahia;BA;42;;;;;
datasus;internações;2013;Retardo mental;Bahia;BA;58;;;;;
datasus;internações;2013;Outros transtornos mentais e comportamentais;Bahia;BA;218;;;;;
datasus;internações;2013;Demência;Minas Gerais;MG;404;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Minas Gerais;MG;3076;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Minas Gerais;MG;1892;;;;;
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Minas Gerais;MG;4392;;;;;
datasus;internações;2013;Transtornos de humor [afetivos];Minas Gerais;MG;2225;;;;;
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Minas Gerais;MG;231;;;;;
datasus;internações;2013;Retardo mental;Minas Gerais;MG;385;;;;;
datasus;internações;2013;Outros transtornos mentais e comportamentais;Minas Gerais;MG;1425;;;;;
datasus;internações;2013;Demência;Espírito Santo;ES;9;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Espírito Santo;ES;311;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Espírito Santo;ES;358;;;;;
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Espírito Santo;ES;440;;;;;
datasus;internações;2013;Transtornos de humor [afetivos];Espírito Santo;ES;302;;;;;
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Espírito Santo;ES;28;;;;;
datasus;internações;2013;Retardo mental;Espírito Santo;ES;17;;;;;
datasus;internações;2013;Outros transtornos mentais e comportamentais;Espírito Santo;ES;104;;;;;
datasus;internações;2013;Demência;Rio de Janeiro;RJ;568;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Rio de Janeiro;RJ;735;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Rio de Janeiro;RJ;770;;;;;
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Rio de Janeiro;RJ;6165;;;;;
datasus;internações;2013;Transtornos de humor [afetivos];Rio de Janeiro;RJ;2123;;;;;
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Rio de Janeiro;RJ;122;;;;;
datasus;internações;2013;Retardo mental;Rio de Janeiro;RJ;286;;;;;
datasus;internações;2013;Outros transtornos mentais e comportamentais;Rio de Janeiro;RJ;620;;;;;
datasus;internações;2013;Demência;São Paulo;SP;791;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;São Paulo;SP;7117;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;São Paulo;SP;10026;;;;;
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;São Paulo;SP;18538;;;;;
datasus;internações;2013;Transtornos de humor [afetivos];São Paulo;SP;10805;;;;;
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";São Paulo;SP;716;;;;;
datasus;internações;2013;Retardo mental;São Paulo;SP;1992;;;;;
datasus;internações;2013;Outros transtornos mentais e comportamentais;São Paulo;SP;4232;;;;;
datasus;internações;2013;Demência;Paraná;PR;67;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Paraná;PR;5099;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Paraná;PR;5285;;;;;
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Paraná;PR;5704;;;;;
datasus;internações;2013;Transtornos de humor [afetivos];Paraná;PR;4213;;;;;
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Paraná;PR;182;;;;;
datasus;internações;2013;Retardo mental;Paraná;PR;327;;;;;
datasus;internações;2013;Outros transtornos mentais e comportamentais;Paraná;PR;1300;;;;;
datasus;internações;2013;Demência;Santa Catarina;SC;143;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Santa Catarina;SC;3552;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Santa Catarina;SC;2615;;;;;
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Santa Catarina;SC;2718;;;;;
datasus;internações;2013;Transtornos de humor [afetivos];Santa Catarina;SC;4093;;;;;
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Santa Catarina;SC;162;;;;;
datasus;internações;2013;Retardo mental;Santa Catarina;SC;113;;;;;
datasus;internações;2013;Outros transtornos mentais e comportamentais;Santa Catarina;SC;670;;;;;
datasus;internações;2013;Demência;Rio Grande do Sul;RS;415;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Rio Grande do Sul;RS;7166;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Rio Grande do Sul;RS;10450;;;;;
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Rio Grande do Sul;RS;5782;;;;;
datasus;internações;2013;Transtornos de humor [afetivos];Rio Grande do Sul;RS;11506;;;;;
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Rio Grande do Sul;RS;274;;;;;
datasus;internações;2013;Retardo mental;Rio Grande do Sul;RS;494;;;;;
datasus;internações;2013;Outros transtornos mentais e comportamentais;Rio Grande do Sul;RS;1469;;;;;
datasus;internações;2013;Demência;Mato Grosso do Sul;MS;49;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Mato Grosso do Sul;MS;263;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Mato Grosso do Sul;MS;357;;;;;
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Mato Grosso do Sul;MS;454;;;;;
datasus;internações;2013;Transtornos de humor [afetivos];Mato Grosso do Sul;MS;470;;;;;
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Mato Grosso do Sul;MS;27;;;;;
datasus;internações;2013;Retardo mental;Mato Grosso do Sul;MS;22;;;;;
datasus;internações;2013;Outros transtornos mentais e comportamentais;Mato Grosso do Sul;MS;180;;;;;
datasus;internações;2013;Demência;Mato Grosso ;MT;7;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Mato Grosso ;MT;339;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Mato Grosso ;MT;437;;;;;
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Mato Grosso ;MT;762;;;;;
datasus;internações;2013;Transtornos de humor [afetivos];Mato Grosso ;MT;289;;;;;
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Mato Grosso ;MT;13;;;;;
datasus;internações;2013;Retardo mental;Mato Grosso ;MT;16;;;;;
datasus;internações;2013;Outros transtornos mentais e comportamentais;Mato Grosso ;MT;106;;;;;
datasus;internações;2013;Demência;Goiás;GO;41;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Goiás;GO;1643;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Goiás;GO;1408;;;;;
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Goiás;GO;2608;;;;;
datasus;internações;2013;Transtornos de humor [afetivos];Goiás;GO;3144;;;;;
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Goiás;GO;89;;;;;
datasus;internações;2013;Retardo mental;Goiás;GO;45;;;;;
datasus;internações;2013;Outros transtornos mentais e comportamentais;Goiás;GO;425;;;;;
datasus;internações;2013;Demência;Distrito Federal;DF;91;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de álcool;Distrito Federal;DF;829;;;;;
datasus;internações;2013;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Distrito Federal;DF;308;;;;;
datasus;internações;2013;Esquizofrenia, transtornos esquizotípicos e delirantes;Distrito Federal;DF;1483;;;;;
datasus;internações;2013;Transtornos de humor [afetivos];Distrito Federal;DF;987;;;;;
datasus;internações;2013;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Distrito Federal;DF;109;;;;;
datasus;internações;2013;Retardo mental;Distrito Federal;DF;102;;;;;
datasus;internações;2013;Outros transtornos mentais e comportamentais;Distrito Federal;DF;314;;;;;
