fonte;origem;ano;estado;sigla estado;consulta agendada;consulta no dia;atendimento de urgência;;;;
sisab;atenção básica;2013;MARANHAO;MA;66.884;28.903;602;;;;
sisab;atenção básica;2013;MATO GROSSO;MT;64.013;67.330;2.466;;;;
sisab;atenção básica;2013;PIAUI;PI;68.148;57.054;1.476;;;;
sisab;atenção básica;2013;ESPIRITO SANTO;ES;104.421;36.995;1.303;;;;
sisab;atenção básica;2013;RIO DE JANEIRO;RJ;180.423;474.045;3.309;;;;
sisab;atenção básica;2013;AMAZONAS;AM;17.893;11.319;286;;;;
sisab;atenção básica;2013;ACRE;AC;9.078;7.626;90;;;;
sisab;atenção básica;2013;RIO GRANDE DO NORTE;RN;127.478;92.002;3.679;;;;
sisab;atenção básica;2013;ALAGOAS;AL;119.594;48.642;4.595;;;;
sisab;atenção básica;2013;SANTA CATARINA;SC;285.095;318.017;10.422;;;;
sisab;atenção básica;2013;GOIAS;GO;124.786;133.030;1.854;;;;
sisab;atenção básica;2013;SAO PAULO;SP;576.012;390.183;17.146;;;;
sisab;atenção básica;2013;MINAS GERAIS;MG;736.988;501.651;18.336;;;;
sisab;atenção básica;2013;PARAIBA;PB;148.163;222.483;2.999;;;;
sisab;atenção básica;2013;RONDONIA;RO;32.304;22.329;196;;;;
sisab;atenção básica;2013;CEARA;CE;185.285;263.518;3.882;;;;
sisab;atenção básica;2013;PARANA;PA;158.417;234.598;2.564;;;;
sisab;atenção básica;2013;PERNAMBUCO;PE;310.146;202.704;6.075;;;;
sisab;atenção básica;2013;SERGIPE;SE;67.060;30.448;1.374;;;;
sisab;atenção básica;2013;BAHIA;BA;210.014;99.044;6.265;;;;
sisab;atenção básica;2013;PARA;PA;50.522;28.413;970;;;;
sisab;atenção básica;2013;TOCANTINS;TO;38.780;26.866;861;;;;
sisab;atenção básica;2013;AMAPA;AP;4.219;1.101;57;;;;
sisab;atenção básica;2013;RORAIMA;RR;1.357;1.213;56;;;;
sisab;atenção básica;2013;RIO GRANDE DO SUL;RS;210.429;308.432;4.142;;;;
sisab;atenção básica;2013;MATO GROSSO DO SUL;MS;47.059;74.940;1.064;;;;
