fonte;origem;ano;morbidade;estado;sigla_estado;casos
datasus;internações;2018;Demência;Rondônia;RO;9
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de álcool;Rondônia;RO;36
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Rondônia;RO;139
datasus;internações;2018;Esquizofrenia, transtornos esquizotípicos e delirantes;Rondônia;RO;748
datasus;internações;2018;Transtornos de humor [afetivos];Rondônia;RO;436
datasus;internações;2018;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Rondônia;RO;34
datasus;internações;2018;Retardo mental;Rondônia;RO;44
datasus;internações;2018;Outros transtornos mentais e comportamentais;Rondônia;RO;230
datasus;internações;2018;Demência;Acre;AC;2
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de álcool;Acre;AC;70
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Acre;AC;296
datasus;internações;2018;Esquizofrenia, transtornos esquizotípicos e delirantes;Acre;AC;575
datasus;internações;2018;Transtornos de humor [afetivos];Acre;AC;473
datasus;internações;2018;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Acre;AC;11
datasus;internações;2018;Retardo mental;Acre;AC;37
datasus;internações;2018;Outros transtornos mentais e comportamentais;Acre;AC;33
datasus;internações;2018;Demência;Amazonas;AM;1
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de álcool;Amazonas;AM;33
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Amazonas;AM;58
datasus;internações;2018;Esquizofrenia, transtornos esquizotípicos e delirantes;Amazonas;AM;314
datasus;internações;2018;Transtornos de humor [afetivos];Amazonas;AM;175
datasus;internações;2018;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Amazonas;AM;3
datasus;internações;2018;Retardo mental;Amazonas;AM;4
datasus;internações;2018;Outros transtornos mentais e comportamentais;Amazonas;AM;13
datasus;internações;2018;Demência;Roraima;RR;1
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de álcool;Roraima;RR;13
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Roraima;RR;16
datasus;internações;2018;Esquizofrenia, transtornos esquizotípicos e delirantes;Roraima;RR;129
datasus;internações;2018;Transtornos de humor [afetivos];Roraima;RR;43
datasus;internações;2018;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Roraima;RR;-
datasus;internações;2018;Retardo mental;Roraima;RR;5
datasus;internações;2018;Outros transtornos mentais e comportamentais;Roraima;RR;13
datasus;internações;2018;Demência;Pará;PA;11
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de álcool;Pará;PA;56
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Pará;PA;259
datasus;internações;2018;Esquizofrenia, transtornos esquizotípicos e delirantes;Pará;PA;1984
datasus;internações;2018;Transtornos de humor [afetivos];Pará;PA;657
datasus;internações;2018;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Pará;PA;14
datasus;internações;2018;Retardo mental;Pará;PA;9
datasus;internações;2018;Outros transtornos mentais e comportamentais;Pará;PA;138
datasus;internações;2018;Demência;Amapá;AP;2
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de álcool;Amapá;AP;3
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Amapá;AP;10
datasus;internações;2018;Esquizofrenia, transtornos esquizotípicos e delirantes;Amapá;AP;27
datasus;internações;2018;Transtornos de humor [afetivos];Amapá;AP;9
datasus;internações;2018;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Amapá;AP;3
datasus;internações;2018;Retardo mental;Amapá;AP;-
datasus;internações;2018;Outros transtornos mentais e comportamentais;Amapá;AP;3
datasus;internações;2018;Demência;Tocantins;TO;4
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de álcool;Tocantins;TO;98
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Tocantins;TO;162
datasus;internações;2018;Esquizofrenia, transtornos esquizotípicos e delirantes;Tocantins;TO;335
datasus;internações;2018;Transtornos de humor [afetivos];Tocantins;TO;185
datasus;internações;2018;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Tocantins;TO;3
datasus;internações;2018;Retardo mental;Tocantins;TO;1
datasus;internações;2018;Outros transtornos mentais e comportamentais;Tocantins;TO;44
datasus;internações;2018;Demência;Maranhão;MA;4
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de álcool;Maranhão;MA;697
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Maranhão;MA;470
datasus;internações;2018;Esquizofrenia, transtornos esquizotípicos e delirantes;Maranhão;MA;1865
datasus;internações;2018;Transtornos de humor [afetivos];Maranhão;MA;956
datasus;internações;2018;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Maranhão;MA;56
datasus;internações;2018;Retardo mental;Maranhão;MA;97
datasus;internações;2018;Outros transtornos mentais e comportamentais;Maranhão;MA;51
datasus;internações;2018;Demência;Piauí;PI;27
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de álcool;Piauí;PI;352
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Piauí;PI;566
datasus;internações;2018;Esquizofrenia, transtornos esquizotípicos e delirantes;Piauí;PI;1123
datasus;internações;2018;Transtornos de humor [afetivos];Piauí;PI;688
datasus;internações;2018;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Piauí;PI;51
datasus;internações;2018;Retardo mental;Piauí;PI;39
datasus;internações;2018;Outros transtornos mentais e comportamentais;Piauí;PI;171
datasus;internações;2018;Demência;Ceará;CE;41
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de álcool;Ceará;CE;568
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Ceará;CE;1407
datasus;internações;2018;Esquizofrenia, transtornos esquizotípicos e delirantes;Ceará;CE;3632
datasus;internações;2018;Transtornos de humor [afetivos];Ceará;CE;1230
datasus;internações;2018;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Ceará;CE;61
datasus;internações;2018;Retardo mental;Ceará;CE;192
datasus;internações;2018;Outros transtornos mentais e comportamentais;Ceará;CE;292
datasus;internações;2018;Demência;Rio Grande do Norte;RN;5
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de álcool;Rio Grande do Norte;RN;235
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Rio Grande do Norte;RN;303
datasus;internações;2018;Esquizofrenia, transtornos esquizotípicos e delirantes;Rio Grande do Norte;RN;1553
datasus;internações;2018;Transtornos de humor [afetivos];Rio Grande do Norte;RN;695
datasus;internações;2018;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Rio Grande do Norte;RN;19
datasus;internações;2018;Retardo mental;Rio Grande do Norte;RN;28
datasus;internações;2018;Outros transtornos mentais e comportamentais;Rio Grande do Norte;RN;57
datasus;internações;2018;Demência;Paraíba;PB;24
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de álcool;Paraíba;PB;499
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Paraíba;PB;612
datasus;internações;2018;Esquizofrenia, transtornos esquizotípicos e delirantes;Paraíba;PB;2002
datasus;internações;2018;Transtornos de humor [afetivos];Paraíba;PB;673
datasus;internações;2018;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Paraíba;PB;29
datasus;internações;2018;Retardo mental;Paraíba;PB;92
datasus;internações;2018;Outros transtornos mentais e comportamentais;Paraíba;PB;124
datasus;internações;2018;Demência;Pernambuco;PE;82
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de álcool;Pernambuco;PE;1643
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Pernambuco;PE;710
datasus;internações;2018;Esquizofrenia, transtornos esquizotípicos e delirantes;Pernambuco;PE;1969
datasus;internações;2018;Transtornos de humor [afetivos];Pernambuco;PE;820
datasus;internações;2018;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Pernambuco;PE;54
datasus;internações;2018;Retardo mental;Pernambuco;PE;128
datasus;internações;2018;Outros transtornos mentais e comportamentais;Pernambuco;PE;456
datasus;internações;2018;Demência;Alagoas;AL;27
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de álcool;Alagoas;AL;590
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Alagoas;AL;528
datasus;internações;2018;Esquizofrenia, transtornos esquizotípicos e delirantes;Alagoas;AL;1720
datasus;internações;2018;Transtornos de humor [afetivos];Alagoas;AL;331
datasus;internações;2018;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Alagoas;AL;14
datasus;internações;2018;Retardo mental;Alagoas;AL;114
datasus;internações;2018;Outros transtornos mentais e comportamentais;Alagoas;AL;251
datasus;internações;2018;Demência;Sergipe;SE;5
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de álcool;Sergipe;SE;158
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Sergipe;SE;221
datasus;internações;2018;Esquizofrenia, transtornos esquizotípicos e delirantes;Sergipe;SE;709
datasus;internações;2018;Transtornos de humor [afetivos];Sergipe;SE;279
datasus;internações;2018;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Sergipe;SE;8
datasus;internações;2018;Retardo mental;Sergipe;SE;47
datasus;internações;2018;Outros transtornos mentais e comportamentais;Sergipe;SE;43
datasus;internações;2018;Demência;Bahia;BA;112
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de álcool;Bahia;BA;1364
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Bahia;BA;330
datasus;internações;2018;Esquizofrenia, transtornos esquizotípicos e delirantes;Bahia;BA;1884
datasus;internações;2018;Transtornos de humor [afetivos];Bahia;BA;1311
datasus;internações;2018;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Bahia;BA;62
datasus;internações;2018;Retardo mental;Bahia;BA;79
datasus;internações;2018;Outros transtornos mentais e comportamentais;Bahia;BA;430
datasus;internações;2018;Demência;Minas Gerais;MG;421
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de álcool;Minas Gerais;MG;3862
datasus;internações;2018;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Minas Gerais;MG;2037
datasus;internações;2018;Esquizofrenia, transtornos esquizotípicos e delirantes;Minas Gerais;MG;4949
datasus;internações;2018;Transtornos de humor [afetivos];Minas Gerais;MG;2987
datasus;internações;2018;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Minas Gerais;MG;262
