fonte;origem;ano;morbidade;estado;sigla;casos;;;;;
datasus;internações;2019;Demência;Rondônia;RO;9;;;;;
datasus;internações;2019;Transtornos mentais e comportamentais devido ao uso de álcool;Rondônia;RO;36;;;;;
datasus;internações;2019;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Rondônia;RO;97;;;;;
datasus;internações;2019;Esquizofrenia e transtornos esquizotípicos e delirantes;Rondônia;RO;542;;;;;
datasus;internações;2019;Transtornos de humor [afetivos];Rondônia;RO;451;;;;;
datasus;internações;2019;Transtornos neuróticos e relacionados com estresse somatoformes;Rondônia;RO;23;;;;;
datasus;internações;2019;Retardo mental;Rondônia;RO;34;;;;;
datasus;internações;2019;Outros transtornos mentais e comportamentais;Rondônia;RO;206;;;;;
datasus;internações;2019;Demência;Acre;AC;17;;;;;
datasus;internações;2019;Transtornos mentais e comportamentais devido ao uso de álcool;Acre;AC;62;;;;;
datasus;internações;2019;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Acre;AC;229;;;;;
datasus;internações;2019;Esquizofrenia e transtornos esquizotípicos e delirantes;Acre;AC;536;;;;;
datasus;internações;2019;Transtornos de humor [afetivos];Acre;AC;539;;;;;
datasus;internações;2019;Transtornos neuróticos e relacionados com estresse somatoformes;Acre;AC;9;;;;;
datasus;internações;2019;Retardo mental;Acre;AC;28;;;;;
datasus;internações;2019;Outros transtornos mentais e comportamentais;Acre;AC;49;;;;;
datasus;internações;2019;Demência;Amazonas;AM;2;;;;;
datasus;internações;2019;Transtornos mentais e comportamentais devido ao uso de álcool;Amazonas;AM;27;;;;;
datasus;internações;2019;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Amazonas;AM;32;;;;;
datasus;internações;2019;Esquizofrenia e transtornos esquizotípicos e delirantes;Amazonas;AM;168;;;;;
datasus;internações;2019;Transtornos de humor [afetivos];Amazonas;AM;114;;;;;
datasus;internações;2019;Transtornos neuróticos e relacionados com estresse somatoformes;Amazonas;AM;3;;;;;
