fonte;origem;ano;estado;sigla estado;consulta agendada;consulta no dia;atendimento urgência
sisab;atenção básica;2019;Alagoas;AL;141.810;85.903;6.620
sisab;atenção básica;2019;Santa Catarina;SC;303.485;403.709;20.594
sisab;atenção básica;2019;Goiás;GO;176.811;145.218;2.290
sisab;atenção básica;2019;São Paulo;SP;762.112;582.404;14.637
sisab;atenção básica;2019;Minas Gerais;MG;899.044;717.050;21.597
sisab;atenção básica;2019;Paraíba;PB;184.125;261.761;4.820
sisab;atenção básica;2019;Rondonia;RO;46.500;30.923;257
sisab;atenção básica;2019;Ceará;CE;309.126;344.032;6.728
sisab;atenção básica;2019;Distrito Federal;DF;24.186;39.638;1.244
sisab;atenção básica;2019;Rio de Janeiro;RJ;229.210;390.216;4.704
sisab;atenção básica;2019;Amazonas;AM;42.311;25.579;613
sisab;atenção básica;2019;Acre;AC;10.982;10.432;94
sisab;atenção básica;2019;Rio Grande do Norte;RN;146.277;128.452;4.748
sisab;atenção básica;2019;Maranhão;MA;100.039;51.747;976
sisab;atenção básica;2019;Mato Grosso;MT;68.446;109.724;2.420
sisab;atenção básica;2019;Piauí;PI;95.936;79.233;2.050
sisab;atenção básica;2019;Espírito Santo;ES;150.325;60.365;1.836
sisab;atenção básica;2019;Paraná;PR;171.690;221.052;4.809
sisab;atenção básica;2019;Pernambuco;PE;421.689;312.468;8.973
sisab;atenção básica;2019;Bahia;BA;297.383;148.420;9.235
sisab;atenção básica;2019;Sergipe;SE;73.214;50.002;1.844
sisab;atenção básica;2019;Pará;PA;93.594;46.005;1.767
sisab;atenção básica;2019;Tocantins;TO;46.578;38.001;674
sisab;atenção básica;2019;Roraima;RR;2.446;3.747;47
sisab;atenção básica;2019;Amapá;AP;6.197;1.722;73
sisab;atenção básica;2019;Rio Grande do Sul;RS;232.564;323.815;4.058
sisab;atenção básica;2019;Mato Grosso do Sul;MS;55.297;95.597;1.042
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
