fonte;origem;ano;morbidade;estado;sigla;casos
datasus;internações;2021;Demência;Rondônia;RO;7
datasus;internações;2021;Transtornos mentais e comportamentais devido ao uso de álcool;Rondônia;RO;30
datasus;internações;2021;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Rondônia;RO;102
datasus;internações;2021;Esquizofrenia e transtornos esquizotípicos e delirantes;Rondônia;RO;641
datasus;internações;2021;Transtornos de humor [afetivos];Rondônia;RO;538
datasus;internações;2021;Transtornos neuróticos e relacionados com estresse somatoformes;Rondônia;RO;24
datasus;internações;2021;Retardo mental;Rondônia;RO;20
datasus;internações;2021;Outros transtornos mentais e comportamentais;Rondônia;RO;126
datasus;internações;2021;Demência;Acre;AC;1
datasus;internações;2021;Transtornos mentais e comportamentais devido ao uso de álcool;Acre;AC;69
datasus;internações;2021;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Acre;AC;117
datasus;internações;2021;Esquizofrenia e transtornos esquizotípicos e delirantes;Acre;AC;340
datasus;internações;2021;Transtornos de humor [afetivos];Acre;AC;274
datasus;internações;2021;Transtornos neuróticos e relacionados com estresse somatoformes;Acre;AC;19
datasus;internações;2021;Retardo mental;Acre;AC;31
datasus;internações;2021;Outros transtornos mentais e comportamentais;Acre;AC;72
datasus;internações;2021;Demência;Amazonas;AM;8
datasus;internações;2021;Transtornos mentais e comportamentais devido ao uso de álcool;Amazonas;AM;36
datasus;internações;2021;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Amazonas;AM;64
datasus;internações;2021;Esquizofrenia e transtornos esquizotípicos e delirantes;Amazonas;AM;491
datasus;internações;2021;Transtornos de humor [afetivos];Amazonas;AM;161
datasus;internações;2021;Transtornos neuróticos e relacionados com estresse somatoformes;Amazonas;AM;3
datasus;internações;2021;Retardo mental;Amazonas;AM;2
datasus;internações;2021;Outros transtornos mentais e comportamentais;Amazonas;AM;22
datasus;internações;2021;Demência;Roraima;RR;4
datasus;internações;2021;Transtornos mentais e comportamentais devido ao uso de álcool;Roraima;RR;5
datasus;internações;2021;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Roraima;RR;4
datasus;internações;2021;Esquizofrenia e transtornos esquizotípicos e delirantes;Roraima;RR;108
datasus;internações;2021;Transtornos de humor [afetivos];Roraima;RR;52
datasus;internações;2021;Transtornos neuróticos e relacionados com estresse somatoformes;Roraima;RR;-
datasus;internações;2021;Retardo mental;Roraima;RR;3
datasus;internações;2021;Outros transtornos mentais e comportamentais;Roraima;RR;3
datasus;internações;2021;Demência;Pará;PA;23
datasus;internações;2021;Transtornos mentais e comportamentais devido ao uso de álcool;Pará;PA;73
datasus;internações;2021;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Pará;PA;161
datasus;internações;2021;Esquizofrenia e transtornos esquizotípicos e delirantes;Pará;PA;2296
datasus;internações;2021;Transtornos de humor [afetivos];Pará;PA;884
datasus;internações;2021;Transtornos neuróticos e relacionados com estresse somatoformes;Pará;PA;29
datasus;internações;2021;Retardo mental;Pará;PA;31
datasus;internações;2021;Outros transtornos mentais e comportamentais;Pará;PA;155
datasus;internações;2021;Demência;Amapá;AP;1
datasus;internações;2021;Transtornos mentais e comportamentais devido ao uso de álcool;Amapá;AP;2
datasus;internações;2021;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Amapá;AP;11
datasus;internações;2021;Esquizofrenia e transtornos esquizotípicos e delirantes;Amapá;AP;55
datasus;internações;2021;Transtornos de humor [afetivos];Amapá;AP;3
datasus;internações;2021;Transtornos neuróticos e relacionados com estresse somatoformes;Amapá;AP;10
datasus;internações;2021;Retardo mental;Amapá;AP;-
datasus;internações;2021;Outros transtornos mentais e comportamentais;Amapá;AP;4
datasus;internações;2021;Demência;Tocantins;TO;5
datasus;internações;2021;Transtornos mentais e comportamentais devido ao uso de álcool;Tocantins;TO;121
datasus;internações;2021;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Tocantins;TO;76
datasus;internações;2021;Esquizofrenia e transtornos esquizotípicos e delirantes;Tocantins;TO;625
datasus;internações;2021;Transtornos de humor [afetivos];Tocantins;TO;149
datasus;internações;2021;Transtornos neuróticos e relacionados com estresse somatoformes;Tocantins;TO;5
datasus;internações;2021;Retardo mental;Tocantins;TO;2
datasus;internações;2021;Outros transtornos mentais e comportamentais;Tocantins;TO;43
datasus;internações;2021;Demência;Maranhão;MA;4
datasus;internações;2021;Transtornos mentais e comportamentais devido ao uso de álcool;Maranhão;MA;790
datasus;internações;2021;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Maranhão;MA;702
datasus;internações;2021;Esquizofrenia e transtornos esquizotípicos e delirantes;Maranhão;MA;2412
datasus;internações;2021;Transtornos de humor [afetivos];Maranhão;MA;1169
datasus;internações;2021;Transtornos neuróticos e relacionados com estresse somatoformes;Maranhão;MA;67
datasus;internações;2021;Retardo mental;Maranhão;MA;227
datasus;internações;2021;Outros transtornos mentais e comportamentais;Maranhão;MA;83
datasus;internações;2021;Demência;Piauí;PI;32
datasus;internações;2021;Transtornos mentais e comportamentais devido ao uso de álcool;Piauí;PI;359
datasus;internações;2021;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Piauí;PI;589
datasus;internações;2021;Esquizofrenia e transtornos esquizotípicos e delirantes;Piauí;PI;1013
datasus;internações;2021;Transtornos de humor [afetivos];Piauí;PI;551
datasus;internações;2021;Transtornos neuróticos e relacionados com estresse somatoformes;Piauí;PI;37
