Secretaria de Atenção Primária à Saúde - SAPS/MS 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
"Competência: DEZ/2024, NOV/2024, OUT/2024, SET/2024, AGO/2024, JUL/2024, JUN/2024, MAI/2024, ABR/2024, MAR/2024, FEV/2024, JAN/2024."
"Estado: AC, AL, AM, AP, BA, CE, DF, ES, GO, MA, MG, MS, MT, PA, PB, PE, PI, PR, RJ, RN, RO, RR, RS, SC, SE, SP, TO."
Tipo de Produção: Atendimento Individual.
"Tipo de Equipe: Eq. de Saúde da Família  - ESF, Eq. Ag. Com. de Saúde - EACS, NASF/eMulti, Eq. da Atenção Básica - EAB, Eq. Consultório na Rua - ECR, Eq. de Saúde Bucal - SB, Eq. AB Prisional - EABp, Eq. de Atenção Primária - eAP."
"Categoria Profissional: Agente comunitário de saúde, Agente de combate a endemias, Agente de saúde, Assistente Social, Cirurgião dentista, Educador social, Enfermeiro, Farmacêutico, Fisioterapeuta, Fonoaudiólogo, Médico, Médico veterinário, Nutricionista, Outros prof. de nível médio, Outros prof. de nível superior, Profissional de educação física, Psicólogo, Sanitarista, Técnico e auxiliar de enfermagem, Técnico e auxiliar de saúde bucal, Terapeuta ocupacional, Naturólogo, Musicoterapeuta, Arteterapeuta, Recepcionista, Terapeuto Holístico."
"Local de Atendimento: 01 - Ubs, 02 - Unidade móvel, 03 - Rua, 04 - Domicílio, 05 - Escola/creche, 06 - Outros, 07 - Polo (academia da saúde), 08 - Instituição/abrigo, 09 - Unidade prisional ou congêneres, 10 - Unidade socioeducativa."
"Tipo de Atendimento: Consulta agendada, Dem. esp. consulta no dia, Dem. esp. atendimento urgência."
Probl/ Condição Avaliada: Saúde mental.


Estado;Consulta agendada;Dem. esp. consulta no dia;Dem. esp. atendimento urgência;
MARANHAO;93.052;120.808;878;
MATO GROSSO;75.869;171.018;1.148;
PIAUI;68.838;152.598;377;
ESPIRITO SANTO;196.451;108.796;1.782;
ALAGOAS;94.649;130.127;2.864;
SANTA CATARINA;359.410;855.476;19.038;
GOIAS;183.647;302.407;1.512;
SAO PAULO;1.787.052;1.397.827;25.401;
MINAS GERAIS;932.799;1.206.718;12.165;
PARAIBA;68.830;330.616;1.311;
RONDONIA;56.662;39.546;491;
CEARA;330.641;736.370;4.515;
DISTRITO FEDERAL;61.730;64.289;4.313;
AMAZONAS;66.715;92.096;596;
RIO DE JANEIRO;445.248;1.102.150;6.337;
ACRE;17.899;36.874;98;
RIO GRANDE DO NORTE;98.999;283.428;887;
TOCANTINS;57.951;70.200;475;
RORAIMA;4.567;12.695;22;
AMAPA;6.243;9.241;91;
RIO GRANDE DO SUL;402.053;819.935;3.593;
MATO GROSSO DO SUL;64.910;147.159;1.360;
PARANA;494.014;795.797;5.457;
PERNAMBUCO;262.669;433.571;6.531;
BAHIA;321.278;371.001;7.479;
SERGIPE;83.537;115.646;1.906;
PARA;122.457;149.834;1.329;


Fonte: Sistema de Informação em Saúde para a Atenção Básica - SISAB;
Dado gerado em: 19 de Abril de 2025 - 19:25h
